Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Pass_Fail
10089,22,60,52,65,4.3,1
10090,24,61,71,65,6.6,1
10091,22,74,67,73,5.7,1
10092,25,87,79,61,7.6,1
10093,21,76,57,89,4.0,1
10094,18,59,71,72,4.8,1
10095,24,53,65,55,4.6,1
10096,25,50,55,54,2.3,1
10097,20,64,62,61,6.2,1
10098,22,75,70,63,6.1,1
10099,24,54,69,70,5.5,1
10100,25,48,57,79,5.0,1
10101,21,52,65,56,2.4,1
10102,22,72,88,48,4.6,1
10103,20,54,55,59,4.7,1
10104,21,69,53,56,3.7,1
10105,23,70,59,67,5.1,1
10106,25,87,56,70,6.4,1
10107,22,77,73,63,9.6,1
10108,22,54,75,61,5.9,1
10109,24,77,67,60,6.1,1
10110,20,70,83,75,5.3,1
10111,19,52,45,50,1.3,1
10112,23,57,69,49,5.4,1
10113,21,76,56,60,5.6,1
10114,18,84,85,98,10.9,1
10115,18,68,64,61,5.1,1
10116,22,66,47,64,6.2,1
10117,24,71,56,66,5.4,1
10118,17,45,61,60,2.9,1
10119,22,84,81,76,8.0,1
10120,18,82,59,83,7.2,1
10121,18,76,68,73,7.2,1
10122,23,76,33,67,3.5,1
10123,17,83,77,81,8.6,1
10124,22,64,65,45,2.4,1
10125,23,74,83,89,6.8,1
10126,24,97,97,95,10.3,1
10127,23,44,61,55,3.3,1
10128,22,63,72,62,4.3,1
10129,25,58,64,74,5.7,1
10130,19,65,55,65,4.4,1
10131,22,58,63,57,2.1,1
10132,20,77,69,73,5.7,1
10133,18,63,38,63,3.2,1
10134,17,69,81,75,6.5,1
10135,17,52,55,61,3.5,1
10136,19,59,72,86,8.9,1
10137,20,62,68,64,3.8,1
10138,18,77,71,67,4.8,1
10139,17,77,63,87,7.3,1
10140,20,56,53,62,2.8,1
10141,23,72,58,73,6.0,1
10142,22,76,68,70,8.4,1
10143,22,55,21,48,2.0,0
10144,25,66,56,80,5.9,1
10145,18,62,66,75,6.1,1
10146,20,74,43,82,7.2,1
10147,21,56,40,60,2.8,1
10148,17,75,59,61,2.6,1
10149,24,65,55,70,6.6,1
10150,24,69,66,70,6.2,1
10151,22,68,51,66,6.1,1
10152,21,67,72,83,6.3,1
10153,24,67,56,56,4.0,1
10154,19,93,58,72,6.0,1
10155,19,67,41,69,6.1,1
10156,18,67,50,71,3.9,1
10157,21,66,88,85,9.6,1
10158,19,68,85,76,6.5,1
10159,19,73,52,60,2.9,1
10160,22,73,70,64,6.9,1
10161,24,64,50,65,3.4,1
10162,18,69,84,73,7.2,1
10163,20,81,73,70,8.0,1
10164,23,77,67,49,3.7,1
10165,17,65,76,68,7.6,1
10166,17,94,70,78,6.4,1
10167,23,60,62,90,7.3,1
10168,23,81,100,84,9.7,1
10169,17,58,78,57,5.0,1
10170,17,58,81,65,3.8,1
10171,20,51,46,70,3.5,1
10172,21,51,60,79,3.7,1
10173,21,55,56,78,5.3,1
10174,20,78,73,73,6.3,1
10175,24,68,70,75,6.1,1
10176,23,71,68,68,7.3,1
10177,25,71,63,75,5.5,1
10178,23,67,99,88,8.7,1
10179,17,69,61,43,4.9,1
10180,23,92,67,91,11.5,1
10181,17,73,65,86,6.9,1
10182,23,65,46,55,3.6,1
10183,24,74,46,40,3.1,1
10184,25,76,76,72,6.6,1
10185,19,64,72,76,5.0,1
10186,20,63,63,77,7.1,1
10187,20,48,63,72,6.5,1
10188,25,69,57,59,5.3,1
10189,23,48,73,51,3.6,1
10190,19,29,61,58,2.2,0
10191,21,60,68,64,4.5,1
10192,23,78,62,82,7.4,1
10193,24,78,50,74,6.0,1
10194,17,67,67,51,2.8,1
10195,18,79,86,72,5.9,1
10196,23,80,51,71,6.3,1
10197,18,45,80,46,3.6,1
10198,23,68,65,65,5.8,1
10199,25,74,67,69,5.6,1
10200,18,58,42,58,3.0,1
10201,23,70,50,74,6.3,1
10202,20,73,47,73,6.7,1
10203,18,81,85,80,7.9,1
10204,23,77,73,78,7.8,1
10205,21,47,58,57,2.5,1
10206,17,42,68,62,3.4,1
10207,21,71,68,69,6.6,1
10208,19,73,86,68,6.6,1
10209,23,73,61,73,6.6,1
10210,22,100,87,73,12.0,1
10211,24,85,61,69,6.8,1
10212,21,78,83,70,8.0,1
10213,18,76,85,68,7.6,1
10214,25,80,66,70,6.9,1
10215,24,69,48,53,4.8,1
10216,22,71,84,71,7.2,1
10217,23,68,49,64,3.8,1
10218,25,65,59,75,5.0,1
10219,23,62,50,84,4.4,1
10220,19,73,69,52,5.7,1
10221,22,87,78,78,10.6,1
10222,23,52,56,50,1.4,1
10223,18,77,65,74,7.0,1
10224,19,62,56,58,2.0,1
10225,20,71,52,59,4.5,1
10226,22,81,87,54,7.9,1
10227,17,42,60,77,5.6,1
10228,25,60,56,64,3.1,1
10229,21,65,47,68,3.9,1
10230,23,80,71,71,7.0,1
10231,25,52,47,65,3.9,1
10232,25,49,67,52,6.0,1
10233,17,77,56,59,5.6,1
10234,17,50,58,74,4.1,1
10235,19,100,88,85,10.2,1
10236,22,68,57,90,6.9,1
10237,18,39,47,43,1.0,1
10238,17,73,71,92,5.9,1
10239,17,68,63,87,4.0,1
10240,21,82,92,69,7.4,1
10241,20,66,51,58,3.8,1
10242,17,60,64,78,5.2,1
10243,20,57,87,67,6.6,1
10244,19,72,59,72,7.4,1
10245,18,46,32,52,2.9,1
10246,25,69,68,59,4.8,1
10247,17,73,71,65,4.5,1
10248,23,64,38,60,4.1,1
10249,20,84,77,63,9.4,1
10250,21,69,58,84,6.4,1
10251,21,66,57,72,2.7,1
10252,17,58,73,80,7.5,1
10253,22,76,97,86,10.2,1
10254,25,96,61,68,7.8,1
10255,18,42,56,52,2.2,1
10256,23,69,67,74,4.4,1
10257,22,87,77,83,8.3,1
10258,21,42,39,66,3.9,1
10259,20,55,73,76,6.5,1
10260,20,88,64,83,7.2,1
10261,22,50,40,69,3.5,1
10262,20,58,68,74,5.4,1
10263,21,42,53,47,0.5,1
10264,22,49,50,75,3.2,1
10265,21,71,71,61,4.9,1
10266,23,45,63,50,2.8,1
10267,25,64,79,76,9.1,1
10268,23,67,59,46,2.4,1
10269,23,53,71,69,4.5,1
10270,20,62,71,69,5.8,1
10271,17,90,55,89,8.7,1
10272,24,55,27,34,2.3,0
10273,20,90,86,79,8.1,1
10274,17,77,58,65,5.5,1
10275,21,54,51,57,3.3,1
10276,24,83,88,62,6.5,1
10277,20,71,59,70,5.9,1
10278,24,57,58,56,4.2,1
10279,24,72,66,82,5.7,1
10280,19,52,60,71,4.7,1
10281,25,77,79,77,5.7,1
10282,19,81,67,58,7.0,1
10283,17,84,86,88,9.0,1
10284,18,38,55,65,2.8,1
10285,22,99,93,81,10.2,1
10286,18,54,34,51,1.2,1
10287,22,67,41,58,5.2,1
10288,17,72,70,70,6.8,1
10289,17,65,59,75,6.1,1
10290,21,59,74,57,4.1,1
10291,25,74,62,66,5.0,1
10292,24,58,63,87,4.4,1
10293,19,60,57,54,4.2,1
10294,19,75,66,78,7.4,1
10295,17,70,69,61,6.3,1
10296,19,56,69,49,4.0,1
10297,17,75,70,82,7.5,1
10298,24,74,64,67,6.2,1
10299,17,67,80,89,7.3,1
10300,21,72,54,78,6.9,1
10301,25,80,70,54,3.7,1
10302,23,62,52,56,4.3,1
10303,20,66,81,80,7.1,1
10304,25,63,73,63,6.8,1
10305,25,55,44,58,5.5,1
10306,18,86,66,53,5.8,1
10307,22,90,89,83,8.3,1
10308,20,50,57,56,4.2,1
10309,24,75,68,75,6.7,1
10310,23,79,56,55,5.1,1
10311,23,66,75,51,5.0,1
10312,25,73,70,83,7.9,1
10313,21,98,90,73,7.3,1
10314,22,57,84,68,7.3,1
10315,17,100,90,74,8.4,1
10316,22,69,66,63,5.5,1
10317,18,87,66,92,7.0,1
10318,22,53,67,68,4.8,1
10319,25,64,83,72,6.2,1
10320,24,56,82,60,5.2,1
10321,25,68,47,76,5.7,1
10322,24,77,97,62,6.8,1
10323,19,71,60,66,3.7,1
10324,24,70,91,89,10.1,1
10325,22,60,47,69,3.3,1
10326,22,66,45,40,2.8,1
10327,22,89,61,87,8.0,1
10328,19,71,89,77,7.2,1
10329,17,70,64,66,6.9,1
10330,20,73,70,53,6.9,1
10331,22,70,62,64,5.5,1
10332,18,73,47,62,3.5,1
10333,23,57,64,55,5.7,1
10334,23,54,60,55,4.0,1
10335,20,64,86,64,7.6,1
10336,20,71,53,63,5.2,1
10337,17,72,52,52,3.7,1
10338,18,51,68,85,4.8,1
10339,25,73,69,79,6.4,1
10340,24,73,61,54,4.3,1
10341,24,68,48,53,3.7,1
10342,25,78,75,56,6.0,1
10343,23,58,81,68,6.0,1
10344,25,71,74,80,4.4,1
10345,18,62,59,75,4.5,1
10346,22,81,41,71,6.0,1
10347,19,59,55,54,2.3,1
10348,22,47,54,62,2.4,1
10349,19,64,48,65,3.9,1
10350,24,74,55,70,5.0,1
10351,20,66,58,72,6.2,1
10352,22,83,81,83,8.7,1
10353,25,63,64,62,7.4,1
10354,18,72,65,65,5.1,1
10355,18,68,89,70,5.5,1
10356,23,68,54,56,3.3,1
10357,18,73,53,57,5.5,1
10358,18,62,48,66,4.9,1
10359,20,63,71,100,6.2,1
10360,25,50,78,54,3.7,1
10361,24,68,60,70,6.6,1
10362,18,91,57,91,8.9,1
10363,24,50,81,83,5.3,1
10364,20,62,94,66,6.4,1
10365,18,83,79,82,7.0,1
10366,23,78,66,72,4.6,1
10367,22,60,68,65,6.0,1
10368,21,58,72,73,5.5,1
10369,17,83,72,67,5.7,1
10370,18,60,61,56,3.8,1
10371,24,60,56,84,5.6,1
10372,17,83,72,78,6.6,1
10373,19,87,77,64,8.7,1
10374,18,84,65,74,7.6,1
10375,21,79,87,80,10.2,1
10376,20,65,53,60,3.8,1
10377,23,89,73,79,7.4,1
10378,21,76,71,72,5.9,1
10379,24,97,90,98,10.3,1
10380,20,75,53,72,3.7,1
10381,22,65,62,50,3.7,1
10382,20,57,67,62,4.2,1
10383,18,57,56,33,0.8,1
10384,17,52,63,55,4.3,1
10385,17,59,64,43,3.8,1
10386,24,75,62,55,5.8,1
10387,20,39,94,83,6.3,1
10388,21,88,81,89,9.6,1
10389,24,80,85,81,7.6,1
10390,23,51,55,74,4.2,1
10391,24,63,61,66,3.5,1
10392,24,75,73,71,6.6,1
10393,22,56,59,52,2.6,1
10394,18,97,73,97,9.5,1
10395,22,88,79,89,8.1,1
10396,17,70,56,62,4.5,1
10397,17,42,58,61,1.7,1
10398,19,81,68,53,8.5,1
10399,19,79,67,74,5.2,1
10400,21,77,76,73,8.2,1
10401,17,69,70,80,2.0,1
10402,22,69,71,73,4.2,1
10403,23,85,79,50,5.5,1
10404,19,58,58,62,5.6,1
10405,20,62,57,65,4.5,1
10406,19,73,71,72,6.9,1
10407,17,65,67,59,3.2,1
10408,24,59,68,76,5.2,1
10409,18,53,59,64,5.8,1
10410,17,77,62,71,6.6,1
10411,24,71,83,87,7.1,1
10412,23,53,59,73,3.0,1
10413,23,47,52,64,2.1,1
10414,20,81,76,75,8.3,1
10415,25,60,77,64,6.2,1
10416,22,59,48,62,3.9,1
10417,18,74,79,80,8.9,1
10418,17,63,67,69,5.8,1
10419,17,83,63,82,8.1,1
10420,25,75,63,71,5.6,1
10421,20,84,100,87,10.0,1
10422,21,94,72,78,9.4,1
10423,19,56,64,55,5.0,1
10424,20,62,53,82,7.6,1
10425,24,61,69,73,6.9,1
10426,20,70,66,82,8.5,1
10427,25,46,53,64,3.4,1
10428,25,95,75,55,7.0,1
10429,22,62,63,92,7.8,1
10430,18,61,52,49,1.6,1
10431,23,57,47,71,2.9,1
10432,25,51,34,55,1.0,1
10433,22,57,72,56,4.9,1
10434,19,78,62,67,7.1,1
10435,23,73,74,73,8.8,1
10436,21,78,60,63,5.7,1
10437,17,93,82,65,9.1,1
10438,19,54,53,50,2.5,1
10439,21,52,49,63,1.8,1
10440,23,72,58,77,5.4,1
10441,19,75,66,65,6.3,1
10442,22,78,68,51,5.4,1
10443,21,59,48,57,1.0,1
10444,17,67,75,57,5.3,1
10445,22,51,61,48,2.6,1
10446,24,83,82,71,7.0,1
10447,17,70,82,67,6.3,1
10448,18,60,58,53,3.4,1
10449,20,69,69,58,4.4,1
10450,18,68,59,55,3.2,1
10451,25,70,78,61,5.4,1
10452,24,71,56,70,7.6,1
10453,24,77,53,57,3.3,1
10454,20,88,74,75,6.6,1
10455,21,53,66,66,4.3,1
10456,20,52,58,57,3.8,1
10457,25,59,48,64,5.3,1
10458,18,67,54,72,3.2,1
10459,24,81,68,72,4.3,1
10460,18,52,51,63,2.9,1
10461,17,88,83,67,9.8,1
10462,19,61,85,69,5.6,1
10463,25,79,57,56,4.0,1
10464,19,78,65,61,6.0,1
10465,25,59,66,64,5.3,1
10466,23,45,65,75,5.0,1
10467,17,84,72,81,6.9,1
10468,21,70,76,68,7.2,1
10469,25,71,48,64,4.3,1
10470,19,66,59,59,4.2,1
10471,25,47,50,63,4.9,1
10472,21,39,46,59,0.5,1
10473,25,51,58,55,2.2,1
10474,22,74,76,63,8.5,1
10475,25,84,70,82,9.1,1
10476,23,70,59,82,5.0,1
10477,23,91,88,66,6.8,1
10478,24,76,82,84,6.2,1
10479,23,100,86,97,12.0,1
10480,25,74,70,87,8.0,1
10481,25,78,63,75,5.2,1
10482,22,55,69,62,3.4,1
10483,23,44,33,50,2.0,1
10484,18,60,61,71,5.9,1
10485,25,35,62,64,3.8,1
10486,17,64,56,65,2.4,1
10487,17,49,55,43,4.1,1
10488,19,72,53,46,3.1,1
10489,22,82,83,83,9.2,1
10490,21,61,68,78,7.4,1
10491,18,57,54,60,5.5,1
10492,25,84,76,83,8.8,1
10493,20,50,68,75,5.7,1
10494,20,66,36,59,3.6,1
10495,21,67,83,93,8.9,1
10496,24,66,80,87,6.7,1
10497,20,60,52,61,3.2,1
10498,21,71,60,74,5.1,1
10499,20,68,50,46,3.6,1
10500,22,42,51,67,2.5,1
10501,19,73,67,88,7.5,1
10502,24,97,96,74,9.7,1
10503,22,52,54,62,2.4,1
10504,21,76,48,55,6.7,1
10505,18,64,65,56,4.1,1
10506,23,76,78,59,4.4,1
10507,18,58,65,50,4.2,1
10508,17,46,69,59,3.6,1
10509,23,59,72,65,5.6,1
10510,21,62,68,67,3.7,1
10511,17,55,77,56,6.1,1
10512,20,62,74,73,5.4,1
10513,20,67,66,59,5.0,1
10514,23,52,40,49,3.5,1
10515,25,66,49,61,4.2,1
10516,18,82,61,81,7.2,1
10517,17,77,44,67,6.6,1
10518,18,43,52,65,3.3,1
10519,23,70,80,71,5.7,1
10520,22,77,57,100,7.2,1
10521,20,49,57,52,1.8,1
10522,17,76,75,71,6.7,1
10523,17,65,61,72,4.0,1
10524,21,73,82,72,6.8,1
10525,17,51,58,64,3.8,1
10526,23,51,64,38,1.5,1
10527,17,72,49,54,1.9,1
10528,17,65,69,62,5.6,1
10529,18,81,66,66,6.1,1
10530,19,60,48,63,3.5,1
10531,17,66,57,72,6.9,1
10532,25,50,56,61,1.8,1
10533,24,68,78,76,5.4,1
10534,21,63,57,56,2.8,1
10535,18,86,65,65,4.1,1
10536,21,69,50,50,5.6,1
10537,22,48,61,64,3.6,1
10538,17,48,41,74,4.7,1
10539,20,73,62,68,7.7,1
10540,25,51,73,70,4.2,1
10541,18,81,72,70,7.3,1
10542,21,63,56,54,3.0,1
10543,17,72,75,85,6.7,1
10544,20,88,86,79,8.7,1
10545,20,48,42,58,0.5,1
10546,22,79,61,44,3.7,1
10547,25,80,70,67,6.8,1
10548,19,75,48,73,5.1,1
10549,25,57,65,72,6.3,1
10550,22,51,64,61,4.2,1
10551,23,74,62,74,5.7,1
10552,18,51,60,59,5.2,1
10553,22,73,83,88,8.1,1
10554,22,82,69,68,6.1,1
10555,18,65,71,63,6.2,1
10556,18,52,45,58,4.6,1
10557,18,70,65,63,4.4,1
10558,17,85,50,60,4.5,1
10559,21,64,68,76,6.4,1
10560,24,77,51,64,4.6,1
10561,18,61,77,67,6.1,1
10562,21,86,100,88,10.1,1
10563,24,75,71,70,7.4,1
10564,21,57,61,70,4.8,1
10565,18,88,86,80,8.1,1
10566,19,49,67,67,4.6,1
10567,22,51,46,48,1.0,1
10568,21,70,60,54,3.3,1
10569,20,59,69,60,1.4,1
10570,20,70,55,70,4.7,1
10571,21,84,59,59,5.5,1
10572,18,81,88,77,9.2,1
10573,25,56,89,82,6.2,1
10574,18,67,65,75,5.0,1
10575,18,74,55,64,7.3,1
10576,25,26,49,50,0.6,0
10577,19,59,62,73,6.0,1
10578,23,63,77,83,7.2,1
10579,20,46,38,57,2.2,1
10580,22,75,60,81,8.0,1
10581,20,68,65,79,6.2,1
10582,23,57,78,74,4.6,1
10583,17,61,57,71,6.9,1
10584,19,93,82,86,10.5,1
10585,19,71,52,62,5.9,1
10586,17,72,70,67,6.0,1
10587,22,82,63,61,4.5,1
10588,25,62,43,59,3.6,1
10589,24,72,85,73,7.3,1
10590,23,59,38,68,3.6,1
10591,24,70,82,72,5.7,1
10592,22,70,74,52,4.4,1
10593,25,72,72,77,6.6,1
10594,19,52,77,65,6.2,1
10595,25,73,72,66,7.8,1
10596,20,63,45,54,4.4,1
10597,23,79,65,67,4.9,1
10598,25,51,40,69,3.3,1
10599,18,48,61,62,4.5,1
10600,18,72,56,79,6.3,1
10601,25,84,82,75,7.2,1
10602,19,56,61,41,3.5,1
10603,25,100,79,80,7.4,1
10604,21,100,80,74,8.5,1
10605,22,71,87,64,6.4,1
10606,18,87,92,88,9.6,1
10607,24,75,75,63,3.8,1
10608,25,56,45,57,2.8,1
10609,18,44,44,55,1.6,1
10610,22,91,54,72,8.8,1
10611,22,79,67,89,6.9,1
10612,24,60,64,69,5.4,1
10613,21,73,72,71,6.1,1
10614,25,56,50,58,3.0,1
10615,17,87,94,73,10.9,1
10616,25,62,73,63,5.8,1
10617,23,70,61,58,5.7,1
10618,20,72,62,62,7.1,1
10619,19,76,70,58,6.6,1
10620,22,78,68,64,6.0,1
10621,17,63,52,62,3.8,1
10622,19,75,66,59,6.5,1
10623,18,80,67,89,9.6,1
10624,25,92,84,81,8.5,1
10625,19,74,86,78,9.0,1
10626,18,47,61,83,4.4,1
10627,20,48,64,58,3.3,1
10628,18,77,65,74,5.2,1
10629,17,73,82,70,5.6,1
10630,22,91,62,89,7.9,1
10631,24,39,52,64,1.8,1
10632,18,100,88,77,8.9,1
10633,25,64,79,64,5.2,1
10634,19,47,69,52,4.6,1
10635,24,81,46,61,3.3,1
10636,24,40,34,61,1.9,1
10637,19,72,71,74,7.3,1
10638,19,67,69,81,5.7,1
10639,22,61,63,59,2.7,1
10640,17,48,43,69,2.7,1
10641,20,76,68,64,4.8,1
10642,17,91,53,71,9.2,1
10643,19,66,55,60,4.9,1
10644,25,67,60,56,2.2,1
10645,21,65,51,59,5.0,1
10646,21,63,52,51,4.9,1
10647,20,67,40,32,0.5,1
10648,19,71,66,77,5.4,1
10649,21,56,52,69,5.0,1
10650,20,66,71,76,7.0,1
10651,24,86,77,84,9.6,1
10652,20,55,87,72,8.0,1
10653,24,59,58,73,4.9,1
10654,22,57,56,44,3.1,1
10655,21,90,89,70,11.2,1
10656,20,56,61,66,5.6,1
10657,20,64,73,69,5.5,1
10658,20,79,74,59,5.4,1
10659,25,80,62,55,5.9,1
10660,20,68,67,72,5.2,1
10661,25,62,51,59,4.2,1
10662,22,61,66,70,4.3,1
10663,23,70,67,79,5.4,1
10664,19,64,57,49,4.3,1
10665,24,65,62,64,3.9,1
10666,19,74,72,71,5.7,1
10667,17,53,75,72,4.9,1
10668,21,79,82,75,8.8,1
10669,18,49,54,50,0.5,1
10670,22,69,94,83,7.9,1
10671,25,73,65,81,8.2,1
10672,17,47,58,65,0.9,1
10673,20,63,53,57,4.7,1
10674,17,67,55,67,4.7,1
10675,17,47,52,56,2.4,1
10676,24,71,52,60,3.8,1
10677,18,56,47,64,3.1,1
10678,17,86,80,83,9.4,1
10679,24,73,70,66,7.6,1
10680,20,82,70,86,8.3,1
10681,19,92,62,79,7.1,1
10682,20,54,69,72,3.0,1
10683,21,58,48,70,4.3,1
10684,17,64,68,70,6.6,1
10685,17,56,65,56,2.8,1
10686,19,74,79,83,7.1,1
10687,22,67,65,59,5.0,1
10688,17,69,56,57,4.7,1
10689,18,78,71,76,7.1,1
10690,23,72,58,58,6.5,1
10691,17,84,59,68,4.7,1
10692,23,86,72,81,8.1,1
10693,20,47,53,57,3.1,1
10694,22,59,63,86,6.9,1
10695,24,67,53,83,6.8,1
10696,25,67,75,58,4.8,1
10697,22,63,78,76,6.2,1
10698,25,50,63,67,2.7,1
10699,20,77,77,76,7.5,1
10700,22,63,65,62,5.1,1
10701,24,43,54,54,4.4,1
10702,25,89,68,71,7.8,1
10703,19,70,74,53,4.0,1
10704,18,42,69,65,2.4,1
10705,22,54,50,53,2.1,1
10706,20,62,70,77,6.8,1
10707,17,50,61,69,2.7,1
10708,24,89,82,84,9.4,1
10709,25,57,48,62,0.9,1
10710,25,92,79,78,9.2,1
10711,18,73,58,73,6.0,1
10712,25,80,60,69,5.3,1
10713,23,57,59,57,4.3,1
10714,21,68,43,68,6.4,1
10715,23,42,65,80,5.4,1
10716,25,77,98,73,7.9,1
10717,24,75,62,54,5.8,1
10718,22,72,67,66,5.8,1
10719,20,58,53,58,4.7,1
10720,17,76,54,72,5.4,1
10721,22,70,65,76,6.2,1
10722,19,60,56,57,1.7,1
10723,22,60,51,53,2.5,1
10724,22,89,68,74,7.1,1
10725,20,73,72,66,5.9,1
10726,18,73,65,53,5.1,1
10727,25,67,68,67,5.5,1
10728,18,66,80,94,6.3,1
10729,19,68,71,54,4.3,1
10730,17,76,73,45,3.8,1
10731,23,64,54,82,5.9,1
10732,17,56,65,64,3.3,1
10733,25,72,85,74,6.4,1
10734,17,59,34,51,1.8,1
10735,21,81,74,78,7.8,1
10736,23,81,64,72,6.5,1
10737,19,90,67,82,6.1,1
10738,25,71,85,84,7.7,1
10739,24,90,66,87,9.2,1
10740,19,81,76,70,7.7,1
10741,21,51,43,55,1.5,1
10742,23,62,66,52,2.7,1
10743,20,60,64,74,4.1,1
10744,21,72,64,62,5.6,1
10745,19,60,62,71,6.6,1
10746,25,56,85,52,3.9,1
10747,25,80,69,65,5.9,1
10748,23,71,44,57,3.8,1
10749,18,65,52,62,4.2,1
10750,23,51,57,49,2.4,1
10751,23,68,50,72,3.5,1
10752,21,68,47,55,2.5,1
10753,25,55,66,55,3.4,1
10754,19,63,83,83,7.8,1
10755,20,64,51,80,3.4,1
10756,17,100,100,85,11.3,1
10757,22,79,62,70,6.6,1
10758,20,85,84,63,5.9,1
10759,17,76,63,67,3.6,1
10760,18,71,74,82,7.0,1
10761,19,65,56,63,4.2,1
10762,25,64,60,65,5.8,1
10763,24,81,64,93,11.1,1
10764,23,58,61,74,5.3,1
10765,20,86,75,91,8.0,1
10766,17,65,41,57,4.0,1
10767,24,77,73,75,5.4,1
10768,20,100,79,83,9.4,1
10769,19,67,72,47,4.1,1
10770,25,77,74,96,9.5,1
10771,20,85,84,76,7.1,1
10772,20,55,56,69,4.3,1
10773,25,91,70,81,6.9,1
10774,18,57,76,81,7.6,1
10775,21,69,70,64,6.9,1
10776,20,60,54,61,2.0,1
10777,25,73,39,67,3.9,1
10778,21,59,62,51,5.0,1
10779,25,59,63,82,5.3,1
10780,25,75,51,69,6.9,1
10781,18,89,73,78,5.9,1
10782,25,41,44,54,2.6,1
10783,19,68,78,66,6.3,1
10784,20,76,71,72,6.8,1
10785,17,65,64,91,6.7,1
10786,17,70,85,95,7.9,1
10787,17,73,89,69,7.3,1
10788,25,75,69,83,6.5,1
10789,24,65,78,67,5.3,1
10790,21,67,48,73,1.8,1
10791,21,78,78,81,6.4,1
10792,25,74,63,72,6.0,1
10793,19,81,86,71,6.1,1
10794,19,60,65,63,2.7,1
10795,23,54,60,64,3.1,1
10796,25,75,49,66,7.8,1
10797,22,56,69,69,5.4,1
10798,18,94,59,67,7.0,1
10799,17,78,69,63,5.6,1
10800,18,43,78,78,5.6,1
10801,17,90,80,77,7.6,1
10802,25,49,69,60,4.4,1
10803,24,74,62,58,5.7,1
10804,23,42,46,57,4.5,1
10805,19,60,53,64,4.5,1
10806,24,79,59,80,4.8,1
10807,18,84,67,60,6.0,1
10808,18,67,73,66,4.4,1
10809,19,88,84,82,8.3,1
10810,23,46,79,72,3.5,1
10811,17,72,53,67,5.1,1
10812,24,72,73,68,4.5,1
10813,23,100,87,90,8.7,1
10814,20,64,65,62,5.9,1
10815,21,78,65,83,7.8,1
10816,17,55,46,43,2.2,1
10817,20,78,61,71,6.1,1
10818,17,85,90,73,7.5,1
